date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:37	131624/131624	---M--	200	added ('OK')	font/ttf	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-brands-400.ttf	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:46:50	708663/708663	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-brands-400.svg	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:46:58	184476/184476	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.woff2	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.woff2	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:46:59	558774/558774	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.eot?	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900d41d.eot	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:47:03	558774/558774	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.eot	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.eot	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:47:08	261968/261968	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.woff	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.woff	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:47:13	558476/558476	---M--	200	added ('OK')	font/ttf	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.ttf	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-duotone-900.ttf	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:47:16	481498/481498	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-light-300.eot	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-light-300.eot	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:47:17	481498/481498	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-light-300.eot?	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-light-300d41d.eot	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
12:47:18	185360/185360	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20Sep%202021%2013:27:01%20GMT	https://doge.danishsaber.com/css/fontawesome/webfonts/fa-light-300.woff2	C:/My%20Web%20Sites/doge/doge.danishsaber.com/css/fontawesome/webfonts/fa-light-300.woff2	(from https://doge.danishsaber.com/css/fontawesome/css/all.css)
